"## Filename : qalingo-email-wording",,,,,,,,,,,,,,,,,
"## PrefixKey : email",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Email Messages",,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN","ru","ca","eu"
"forgotten_password","html_title","Redefining the password of your account {0}","Redéfinition du mot de passe de votre compte {0}","Redefining das Passwort Ihres Kontos {0}","Redefiniendo la contraseña de su cuenta {0}","Ridefinire la password del vostro account {0}","Herdefiniëren van het wachtwoord van uw account {0}","Redefinindo a senha da sua conta {0}","あなたのアカウントのパスワードを再定義{0}","重新定义您的Qalingo帐户的密码","重新定義您的Qalingo帳戶的密碼","重新定義您的Qalingo帳戶的密碼","重新定義您的Qalingo帳戶的密碼","Xác nhận lại mật khẩu cho tài khoản Qalingo","Переосмысление пароль вашей учетной записи {0}","Redefinint la contrasenya del compte {0}","Zure kontua pasahitza birdefinitu {0}"
"forgotten_password","intro","Have you asked the redefinition of the password of your account:  {0}?","Avez-vous demandé la redéfinition du mot de passe de votre compte {0} ?","Haben Sie sich gefragt, die Neudefinition der Kennwort Ihres Kontos: {0}?","¿Le ha pedido a la redefinición de la contraseña de su cuenta de: {0}?","¿Le ha pedido a la redefinición de la contraseña de su cuenta de: {0}?","Hebt u gevraagd de herdefiniëring van het wachtwoord van uw account: {0}?","Você já se perguntou a redefinição da senha de sua conta: {0}?","あなたのアカウントのパスワードの再定義を求めている：{0}？","请问您要求重新定义Qalingo帐户（{0}）的密码吗？","請問您要求重新定義Qalingo帳戶（{0}）的密碼嗎？","請問您要求重新定義Qalingo帳戶（{0}）的密碼嗎？","請問您要求重新定義Qalingo帳戶（{0}）的密碼嗎？","Bạn đã yêu cầu xác nhận lại mật khẩu tài khoản Qalingo ({0}) ?","Вы спросили переопределение пароля вашей учетной записи: {0}?","Li ha demanat a la redefinició de la contrasenya del seu compte {0}?","Zure kontua {0} pasahitza definitzen den galdetu diozu?"
,,,,,,,,,,,,,,,,,
"forgotten_password","validation.message","If you have asked redefining your password, go here:","Si vous avez bien demandé la redéfinition de votre mot de passe, rendez-vous ici :","Wenn Sie gebeten haben Neudefinition vergessen, gehen Sie hier:","Si ha solicitado la redefinición de su contraseña, haga clic aquí:","Se avete chiesto di ridefinire la propria password, andate qui:","Als u hebt gevraagd herdefiniëren uw wachtwoord, klik hier:","Se você tiver solicitado a redefinir sua senha, clique aqui:","パスワードを再定義しないかどうか、ここに行く：","如果您要求重新定义您的密码，去这里：","如果您要求重新定義您的密碼，去這裡：","如果您要求重新定義您的密碼，去這裡：","如果您要求重新定義您的密碼，去這裡：","Nếu bạn yêu cầu xác nhận lại mật khẩu, hãy vào đây","Если вы попросили пересмотра пароль, перейдите по ссылке:","Si ha sol·licitat la redefinició de la seva contrasenya, feu clic aquí:","Zuk eskatu baduzu, zure pasahitza berriro erabili, joan hemen:"
,,,,,,,,,,,,,,,,,
"forgotten_password","cancel.message","If you have not sent this request, click on this link to cancel:","Si vous n&#39;avez pas effectué cette demande, cliquer sur le lien suivant pour annuler la demande:","Wenn Sie diese Anfrage nicht gesendet haben, klicken Sie auf diesen Link, um den Vorgang abzubrechen:","Si usted no ha enviado esta solicitud, haga clic en este enlace para cancelar:","Se non hai inviato la richiesta, clicca su questo link per annullare:","Als u dit verzoek niet hebben gestuurd, klik op deze link om te annuleren:","Se você ainda não enviou este pedido, clique neste link para cancelar:","あなたはこの要求を送信していない場合は、キャンセルするには、このリンクをクリックしてください：","如果你不必发送这个请求，取消点击此链接：","如果你不必發送這個請求，取消點擊此鏈接：","如果你不必發送這個請求，取消點擊此鏈接：","如果你不必發送這個請求，取消點擊此鏈接：","Nếu bạn không muốn gửi yêu cầu này, nhấn vào đây để hủy:","Если вы не посылали этот запрос, нажмите на эту ссылку, чтобы отменить:","Si no ha fet aquesta petició, feu clic al següent enllaç per cancel·lar la sol·licitud:","Ez baduzu eskari hau egin bazuen, klikatu hurrengo estekan eskaera bertan behera uzteko:"
,,,,,,,,,,,,,,,,,
"## -- Customer : change password confirmation --",,,,,,,,,,,,,,,,,
"reset_password_confirmation","email.subject","Change of password, confirmation.","Confirmation de votre changement de mot de passe.","Passwortänderung, Bestätigung.","Cambio de la contraseña, la confirmación.","Modifica della password, conferma.","Verandering van het wachtwoord, de bevestiging.","Mudança de senha, confirmação.","パスワードの変更、確認。","确认你的密码变更。","確認你的密碼變更。","確認你的密碼變更。","確認你的密碼變更。","Xác nhận thay đổi mật khẩu","Изменение пароля, подтверждение.","La confirmació del seu canvi de contrasenya.","Zure pasahitza aldatzea baieztapena."
,,,,,,,,,,,,,,,,,
"reset_password_confirmation","html_title","Change of password, confirmation.","Confirmation de votre changement de mot de passe.","Passwortänderung, Bestätigung.","Cambio de la contraseña, la confirmación.","Modifica della password, conferma.","Verandering van het wachtwoord, de bevestiging.","Mudança de senha, confirmação.","パスワードの変更、確認。","确认你的密码变更。","確認你的密碼變更。","確認你的密碼變更。","確認你的密碼變更。","Xác nhận thay đổi mật khẩu","Изменение пароля, подтверждение.","La confirmació del seu canvi de contrasenya.","Zure pasahitza aldatzea baieztapena."
"reset_password_confirmation","intro","Your password has been reset, you can reconnect from:","Votre mot de passe a bien été réinitialisé, vous-pouvez vous reconnecter à partir de :","Ihr Passwort wurde, zurückgesetzt wurde, können Sie aus anzuschließen:","Su contraseña ha sido-reset, puede conectarse desde:","La tua password è-viene azzerato, è possibile collegare da:","Uw wachtwoord te resetten is-is, kunt u verbinding vanaf:","Sua senha foi-reset, você pode se conectar a partir de:","あなたのパスワードがリセットされている、あなたがから再接続することができます：","您的密码已重置，你可以从这里重新连接：","您的密碼已重置，你可以從這裡重新連接：","您的密碼已重置，你可以從這裡重新連接：","您的密碼已重置，你可以從這裡重新連接：","Mật khẩu của bạn đã được thay đổi, bạn có thể kết nối lại từ :","Ваш пароль был сброшен, вы можете восстановить из:","La seva contrasenya s'ha restablert, pot tornar a connectar des de:","Zure pasahitza honetara berrasi, batetik birkonektatzeko daiteke:"
,,,,,,,,,,,,,,,,,
"## -- Order : New --",,,,,,,,,,,,,,,,,
"customer.new.order","html_title","Order confirmation","Confirmation de commande","Auftragsbestätigung","Confirmación de la orden","Conferma dell&#39;ordine","Orderbevestiging","Confirmação do pedido","注文確認","订单确","訂單確認","訂單確認","訂單確認","Xác nhận đơn hàng","Подтверждение заказа","Confirmació de l'ordre","Denboraldia"
"customer.new.order","confirmation.email.subject","Order confirmation","Confirmation de commande","Auftragsbestätigung","Confirmación de la orden","Conferma dell&#39;ordine","Orderbevestiging","Confirmação do pedido","注文確認","订单确","訂單確認","訂單確認","訂單確認","Xác nhận đơn hàng","Подтверждение заказа","Confirmació de l'ordre","Denboraldia"
,,,,,,,,,,,,,,,,,
"## -- Order : shipped --",,,,,,,,,,,,,,,,,
"order_shipped","email.subject","Your order is sent","Votre commande a été envoyée","Ihre Bestellung wird gesendet","Su pedido se envía","Il vostro ordine inviato","Uw bestelling wordt verzonden","Seu pedido é enviado","ご注文が送信されます","您的订单已发送","您的訂單已發送","您的訂單已發送","您的訂單已發送","Đơn hàng của bạn đã được gửi","Ваш заказ отправлен","La seva comanda ha estat enviat","Zure eskaera bidali da"
,,,,,,,,,,,,,,,,,
"## -- Abandoned Shopping Cart --",,,,,,,,,,,,,,,,,
"abandoned_shopping_cart","email.subject","Need help or information about your last cart?","Avez-vous besoin d&#39;aide ou d&#39;informations à propos de votre panier sur notre site ?","Brauchen Sie Hilfe oder Informationen zu Ihrem Warenkorb auf unserer Website benötigen?","¿Necesita ayuda o información sobre sus compras en nuestro sitio?","Avete bisogno di aiuto o informazioni su i suoi acquisti sul nostro sito?","Heeft u hulp of informatie over uw boodschappen op onze site nodig?","Seu pedido é enviado","あなたが私たちのサイト上でお買い物についてのヘルプまたは情報が必要ですか。","需要帮助或对你最后的车的信息？","需要幫助或對你最後的車的信息？","需要帮助或对你最后的车的信息？","需要幫助或對你最後的車的信息？","Cần giúp đỡ hoặc thông tin về giỏ hàng cuối cùng của bạn?","Нужна помощь или информацию о вашем последнем корзину?","Necessita ajuda o informació sobre les seves compres al nostre lloc?","Ez laguntza edo zure erosketa gure gunean buruzko informazioa behar duzu?"
